[2015-05-01 15:37:05] EDIT gabaros/views/view_char/combat.html: -14
[2015-05-01 15:39:04] EDIT gabaros/controllers/view_char.py: 9
[2015-05-01 15:42:07] EDIT gabaros/views/view_char/combat.html: 0
[2015-05-01 15:43:12] CREATE view_char/view_weapons.load: 0
[2015-05-01 15:43:56] EDIT gabaros/views/view_char/view_weapons.load: -6
[2015-05-01 15:52:29] EDIT gabaros/controllers/view_char.py: 18
[2015-05-01 15:54:08] EDIT gabaros/controllers/view_char.py: 1
[2015-05-01 15:56:24] EDIT gabaros/controllers/view_char.py: 0
[2015-05-01 16:02:13] EDIT gabaros/controllers/view_char.py: 0
[2015-05-01 16:02:19] EDIT gabaros/controllers/view_char.py: 0
[2015-05-01 16:04:21] EDIT gabaros/controllers/view_char.py: 0
[2015-05-01 16:04:58] EDIT gabaros/controllers/view_char.py: 0
[2015-05-01 16:08:56] EDIT gabaros/controllers/view_char.py: 0
[2015-05-01 16:11:09] EDIT gabaros/controllers/view_char.py: 0
[2015-05-01 16:11:09] EDIT gabaros/controllers/view_char.py: 0
[2015-05-01 16:11:09] EDIT gabaros/controllers/view_char.py: 0
[2015-05-01 16:12:49] EDIT gabaros/controllers/view_char.py: 2
[2015-05-01 16:19:58] EDIT gabaros/views/view_char/combat.html: 0
[2015-05-01 16:21:07] EDIT gabaros/controllers/view_char.py: 0
[2015-05-01 16:58:34] CREATE view_char/view_actions.load: 0
[2015-05-01 16:59:24] EDIT gabaros/views/view_char/view_actions.load: -3
[2015-05-01 16:59:47] EDIT gabaros/views/view_char/view_actions.load: 0
[2015-05-01 17:01:05] EDIT gabaros/controllers/view_char.py: 1
[2015-05-01 17:02:23] EDIT gabaros/views/view_char/combat.html: 1
[2015-05-01 17:02:33] EDIT gabaros/views/view_char/combat.html: 0
[2015-05-01 21:40:27] CREATE view_char/view_bodyparts.html: 0
[2015-05-01 21:41:00] EDIT gabaros/views/view_char/view_bodyparts.html: 12
[2015-05-01 22:37:54] EDIT gabaros/views/view_char/view_bodyparts.html: 1
[2015-05-03 22:43:32] EDIT gabaros/models/menu.py: 3
[2015-05-06 21:14:15] CREATE view_char/view_armor.html: 0
[2015-05-06 21:14:46] EDIT gabaros/views/view_char/view_armor.html: 12
[2015-05-06 21:14:50] EDIT gabaros/views/view_char/view_armor.html: 0
[2015-05-08 20:53:08] EDIT gabaros/models/menu.py: 3
[2015-05-08 20:53:08] EDIT gabaros/models/menu.py: 0
[2015-05-08 20:53:08] EDIT gabaros/models/menu.py: 0
[2015-05-08 20:53:41] EDIT gabaros/models/menu.py: 0
[2015-05-25 17:59:44] CREATE master/chat.html: 0
[2015-05-25 17:59:57] CREATE view_char/chat.html: 0
[2015-06-30 17:33:36] EDIT gabaros/controllers/master.py: -55
[2015-06-30 17:33:44] EDIT gabaros/controllers/master.py: 0
[2015-06-30 17:34:07] EDIT gabaros/controllers/master.py: 0
[2015-06-30 17:34:13] EDIT gabaros/controllers/master.py: 0
[2015-06-30 17:34:28] EDIT gabaros/controllers/master.py: 0
